Year,Group,Value
1976-01-01,Conifers,27.37
1976-01-01,Broadleaves,0.93
1977-01-01,Conifers,23.35
1977-01-01,Broadleaves,0.88
1978-01-01,Conifers,21.07
1978-01-01,Broadleaves,0.75
1979-01-01,Conifers,20.15
1979-01-01,Broadleaves,0.9
1980-01-01,Conifers,24.23
1980-01-01,Broadleaves,1.15
1981-01-01,Conifers,20.13
1981-01-01,Broadleaves,1.11
1982-01-01,Conifers,23.76
1982-01-01,Broadleaves,0.79
1983-01-01,Conifers,21.35
1983-01-01,Broadleaves,0.99
1984-01-01,Conifers,24.96
1984-01-01,Broadleaves,1.05
1985-01-01,Conifers,21.2
1985-01-01,Broadleaves,1.34
1986-01-01,Conifers,23.07
1986-01-01,Broadleaves,1.37
1987-01-01,Conifers,23.5
1987-01-01,Broadleaves,2.08
1988-01-01,Conifers,26.56
1988-01-01,Broadleaves,3.27
1989-01-01,Conifers,26.8
1989-01-01,Broadleaves,3.37
1990-01-01,Conifers,15.52
1990-01-01,Broadleaves,5.79
1991-01-01,Conifers,13.46
1991-01-01,Broadleaves,6.84
1992-01-01,Conifers,11.56
1992-01-01,Broadleaves,6.6
1993-01-01,Conifers,10.09
1993-01-01,Broadleaves,9.08
1994-01-01,Conifers,7.39
1994-01-01,Broadleaves,11.34
1995-01-01,Conifers,9.45
1995-01-01,Broadleaves,10.8
1996-01-01,Conifers,7.42
1996-01-01,Broadleaves,9.26
1997-01-01,Conifers,7.72
1997-01-01,Broadleaves,9.88
1998-01-01,Conifers,6.98
1998-01-01,Broadleaves,9.92
1999-01-01,Conifers,6.63
1999-01-01,Broadleaves,10.36
2000-01-01,Conifers,6.53
2000-01-01,Broadleaves,11.37
2001-01-01,Conifers,4.9
2001-01-01,Broadleaves,13.84
2002-01-01,Conifers,3.89
2002-01-01,Broadleaves,10.51
2003-01-01,Conifers,3.75
2003-01-01,Broadleaves,9.94
2004-01-01,Conifers,2.92
2004-01-01,Broadleaves,9.44
2005-01-01,Conifers,2.1
2005-01-01,Broadleaves,9.87
2006-01-01,Conifers,1.14
2006-01-01,Broadleaves,7.66
2007-01-01,Conifers,2.14
2007-01-01,Broadleaves,8.69
2008-01-01,Conifers,0.86
2008-01-01,Broadleaves,6.67
2009-01-01,Conifers,1.22
2009-01-01,Broadleaves,5.22
2010-01-01,Conifers,0.54
2010-01-01,Broadleaves,4.9
2011-01-01,Conifers,1.84
2011-01-01,Broadleaves,7.26
2012-01-01,Conifers,3.46
2012-01-01,Broadleaves,9.31
2013-01-01,Conifers,1.86
2013-01-01,Broadleaves,8.94
2014-01-01,Conifers,2.16
2014-01-01,Broadleaves,10.75
2015-01-01,Conifers,2.58
2015-01-01,Broadleaves,7.72
2016-01-01,Conifers,1.93
2016-01-01,Broadleaves,3.69
2017-01-01,Conifers,3.57
2017-01-01,Broadleaves,2.97
2018-01-01,Conifers,5.13
2018-01-01,Broadleaves,3.92
2019-01-01,Conifers,8.11
2019-01-01,Broadleaves,5.42
2020-01-01,Conifers,7.78
2020-01-01,Broadleaves,5.9
2021-01-01,Conifers,7.27
2021-01-01,Broadleaves,6.02
2022-01-01,Conifers,6.88
2022-01-01,Broadleaves,6.96
