objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,45,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{90350393-9946-4D54-ADCF-D842CCBE372C},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,47,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{5C46362E-5768-4AED-861F-73CBC55AA871},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,54,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{BA89166B-963B-403F-BA91-DCD7B9C6E89E},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,41,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{914E212C-87F0-4B90-8D54-068893D8AEA5},1285916.58838284,369966601.580566
5,UK0005,Tyneside,Nitrogen Dioxide annual mean Limit Value 2022,34,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{0DF7C779-4056-4213-83C5-CF66C6F4D9FC},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,43,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{AF329353-41BD-4361-82E7-6A3411F1DF6B},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,43,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{E94E9080-5275-40C1-86E0-C7EF5499B48E},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,43,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{2A505AC6-D2CC-4CA2-8040-0C287F363A85},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,49,μg m⁻³,Exceeding,Limit Value: 40 μg m⁻³,{14823A2A-5961-4563-BB7F-D61E393006FA},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,Nitrogen Dioxide annual mean Limit Value 2022,26,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{E6166B35-9360-4C0F-BDFD-2E2E60E8F511},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,40,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{819697CF-AFB8-45DA-B5EA-E37166CAEB33},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,37,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{098D5721-7C01-4099-B940-BDF5B7F85E61},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,37,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{AB58179B-B5F9-4F15-870B-3E1CBE04C80E},268300.380811507,114303033.398667
14,UK0014,The Potteries,Nitrogen Dioxide annual mean Limit Value 2022,38,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{A9139CC9-A633-495A-9CE9-D8CB4DE824F9},320022.561398888,96638493.7269874
15,UK0015,Bournemouth Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,31,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{97C6AC7F-B05E-4414-8868-F218C179F9AD},251849.342077123,108070011.0059
16,UK0016,Reading/Wokingham Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,30,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{044B60F5-4A2E-43B0-87F5-EFB41B89FC9A},259025.822297437,93153131.1895689
17,UK0017,Coventry/Bedworth,Nitrogen Dioxide annual mean Limit Value 2022,35,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{B2260639-5275-4851-BC10-F391B966E47C},228377.589941263,75477131.7086832
18,UK0018,Kingston upon Hull,Nitrogen Dioxide annual mean Limit Value 2022,35,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{3927C5EC-AD1D-4F70-B0C7-C134FBACE581},144828.131798232,80386674.5916436
19,UK0019,Southampton Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,38,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{E750D6A1-EC02-4F71-B65B-B3C7D2593B0A},182667.610100662,72763328.1857934
20,UK0020,Birkenhead Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,29,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{0BE54CBA-11A5-4D2A-B963-CB8279CEBFD0},205808.659555806,89081252.6538979
21,UK0021,Southend Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,31,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{07408148-7C7F-490B-AEBD-F97AC91415D8},142991.514576751,66833273.5808221
22,UK0022,Blackpool Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,22,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{8FC62778-1227-4702-B6B9-A89664068BC4},149487.381148489,65847099.3633596
23,UK0023,Preston Urban Area,Nitrogen Dioxide annual mean Limit Value 2022,29,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{1FA79DC5-C0F0-4681-87A1-9EF83FABE041},285011.781083192,60444246.6523564
