objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,1,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{BB236737-4F18-4EB8-8DDA-2BE94607C15D},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{7F966693-4F4D-4B69-94EB-731415473F70},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{FEF0C1F7-6233-4138-9753-13BF6AF1E3C2},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{AE2485CE-69B4-4E10-B03A-544E05B07DA9},1285916.58838284,369966601.580566
5,UK0005,Tyneside,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{10A95B80-4D56-42B5-889B-BCDD6EB5C3EB},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{A0A24DFA-356B-49FD-875A-ACB05A349A69},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{E3662CE3-8F3A-4CF7-8B6F-CF5F9CA51D2C},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{F9FEACA6-EAC2-4A70-A8C2-F47B466D1B74},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{B6A8BA85-D0F6-4A24-8F5C-D06701E8A759},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{CD04EA01-1DDA-4416-A8B9-89FCC450250E},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{F2498CD8-C94D-401D-B5BA-87BCBE441B14},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{100BB628-DEC2-4891-A44E-0712ADEDA640},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{B72A3709-A20C-4AFA-9111-88B306B0225D},268300.380811507,114303033.398667
14,UK0014,The Potteries,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{C3F730FA-59D0-437F-B70B-D69AB2168AAD},320022.561398888,96638493.7269874
15,UK0015,Bournemouth Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{486B1C02-AB13-4610-9194-92C8FB14B8AA},251849.342077123,108070011.0059
16,UK0016,Reading/Wokingham Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{F5FEE511-AED5-4D19-9B25-FEAA912E6D27},259025.822297437,93153131.1895689
17,UK0017,Coventry/Bedworth,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{D1C86BAA-083C-4A77-A12D-A25986883C59},228377.589941263,75477131.7086832
18,UK0018,Kingston upon Hull,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{CCE6D070-CD70-4B45-B66C-EBD8EE2290D4},144828.131798232,80386674.5916436
19,UK0019,Southampton Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{7D5353D6-1D03-4D11-A6FA-6F2CECA85336},182667.610100662,72763328.1857934
20,UK0020,Birkenhead Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{ACF9F851-CB59-4D35-ABA2-C4F68E4A53A9},205808.659555806,89081252.6538979
21,UK0021,Southend Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{D1241738-4446-47E6-8F65-F2AC6B5D03E2},142991.514576751,66833273.5808221
22,UK0022,Blackpool Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{9D24DB50-ABE6-4FA2-81FB-F5B73D91729D},149487.381148489,65847099.3633596
23,UK0023,Preston Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{D00B8E20-F806-4113-BB53-5B527CDF7226},285011.781083192,60444246.6523564
24,UK0024,Glasgow Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{E6D06D9F-4E47-4010-B421-08D3C1A2D987},408662.287986469,371181137.360747
25,UK0025,Edinburgh Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{2CCC0383-4590-4932-9EFB-0546EF957244},114175.612590016,120107997.674062
26,UK0026,Cardiff Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{F6B97E0C-72E5-472C-BA6B-81848C81A8B4},196203.096669671,75550460.8311575
27,UK0027,Swansea Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{F6749DE4-679F-42CB-B81C-69F36D75973C},365148.94139693,79703705.1851885
28,UK0028,Belfast Metropolitan Urban Area,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{9250FBC7-0F3B-4087-B8AB-C46D6E3F2BB5},277460.90331101,198130523.091352
29,UK0029,Eastern,Nitrogen Dioxide hourly mean Limit Value 2022,0,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{08352ACC-9140-4246-92DA-54C5D479E666},2210565.64479357,19104559394.6904
30,UK0030,South West,Nitrogen Dioxide hourly mean Limit Value 2022,1,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{5C65FDFF-A457-4CE3-B2D9-80F93C2972D4},2743218.82663225,23566188737.735
31,UK0031,South East,Nitrogen Dioxide hourly mean Limit Value 2022,1,Hours,Compliant,Limit Value: 18 hours over 200 μg m⁻³,{8D69DB3E-4987-46A8-B7DC-7FBE2BA41367},3643594.26603739,18657535924.9388
