objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,PM10 annual mean Limit Value 2022,31,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{5574BE40-7979-4887-A087-AF7444B3950E},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,PM10 annual mean Limit Value 2022,22,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{DA6B35FE-306A-48F3-BA76-031372355D6B},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{B027EC8B-8B88-4D98-AD0D-DCD5E2C3D9B8},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{EF027E72-F99D-4DE7-9A11-F837736AF735},1285916.58838284,369966601.580566
5,UK0005,Tyneside,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{7B6DEF78-0360-4569-B8AC-89B4946A7BA3},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{8DAF6170-12FC-469F-8F33-7974D1D126B1},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,PM10 annual mean Limit Value 2022,17,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{01972480-2F6E-4BAB-AF5D-E6A8F8AD813A},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,PM10 annual mean Limit Value 2022,21,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{4A33A0CC-BE0A-4733-9C73-E4EFB3061C10},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,PM10 annual mean Limit Value 2022,21,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{2C6BD30A-E348-4940-BD0C-EED3B602B8F7},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,PM10 annual mean Limit Value 2022,15,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{85906DFF-CC75-40AF-9EBE-8983EAD991AD},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{8AD8D77A-33D1-4865-9689-D746042C111A},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,PM10 annual mean Limit Value 2022,19,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{EF744754-F759-4F3D-8FBD-05596980CEC5},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,PM10 annual mean Limit Value 2022,22,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{6B01B261-E30A-4A2C-BD31-B5F3F6B9CF60},268300.380811507,114303033.398667
14,UK0014,The Potteries,PM10 annual mean Limit Value 2022,21,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{EA6A8E9A-7A1B-44F0-A9AD-5A930F775A62},320022.561398888,96638493.7269874
15,UK0015,Bournemouth Urban Area,PM10 annual mean Limit Value 2022,18,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{687F451E-23E0-4051-8648-7E08704FF2FA},251849.342077123,108070011.0059
16,UK0016,Reading/Wokingham Urban Area,PM10 annual mean Limit Value 2022,19,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{B84CFDC5-EDF1-442B-B02A-7CF1FE30EE1E},259025.822297437,93153131.1895689
17,UK0017,Coventry/Bedworth,PM10 annual mean Limit Value 2022,19,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{2B9BB8B1-7097-4EB8-BFFE-34FEEAACAAEA},228377.589941263,75477131.7086832
18,UK0018,Kingston upon Hull,PM10 annual mean Limit Value 2022,20,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{EB533AB0-E3B6-48FA-B21C-7EFF4E0758D5},144828.131798232,80386674.5916436
19,UK0019,Southampton Urban Area,PM10 annual mean Limit Value 2022,21,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{429011D9-1BF8-47CE-8E44-3683147533F2},182667.610100662,72763328.1857934
20,UK0020,Birkenhead Urban Area,PM10 annual mean Limit Value 2022,16,μg m⁻³,Compliant,Limit Value: 40 μg m⁻³,{138CCEAE-260F-4FB4-BDF7-567ACA5F2CED},205808.659555806,89081252.6538979
