objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,PM10 daily mean Limit Value 2022,27,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{46B77854-274C-4C55-9CC0-06A444DAE1A7},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,PM10 daily mean Limit Value 2022,6,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{9C2EF9E7-BC76-4978-A204-DC990634F8E9},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,PM10 daily mean Limit Value 2022,7,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{773FDD36-2B74-40DE-8C2C-74FB87FCE9FB},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,PM10 daily mean Limit Value 2022,7,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{E5DA4473-DE72-4384-873A-07F7E3A7A64D},1285916.58838284,369966601.580566
5,UK0005,Tyneside,PM10 daily mean Limit Value 2022,5,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{D09B1E72-9C57-4EC0-BCAF-382B61BE0B09},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,PM10 daily mean Limit Value 2022,8,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{413D5C08-AD2A-4BA3-8D5A-0991DD898257},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,PM10 daily mean Limit Value 2022,5,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{C118CFAB-9D3A-41F4-96F7-4D1E8876297B},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,PM10 daily mean Limit Value 2022,6,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{0DEA805B-231E-446B-BE5D-6124F4F4F6C2},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,PM10 daily mean Limit Value 2022,4,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{9A6C9DE8-015E-4547-A196-02D5B424E9C3},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,PM10 daily mean Limit Value 2022,0,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{041C014A-8117-443C-828D-403ABF200709},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,PM10 daily mean Limit Value 2022,5,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{9C19EA3E-DC33-42B9-80F6-8318BC968FFD},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,PM10 daily mean Limit Value 2022,1,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{9DAD7B97-6F3E-40F1-8784-6540D79A9E82},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,PM10 daily mean Limit Value 2022,5,Days,Compliant,Limit Value: 35 days over 50 μg m⁻³,{B1BFEAE7-F85D-4964-9333-395AED3D8646},268300.380811507,114303033.398667
