objectid,unique_code,name,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
1,UK0001,Greater London Urban Area,PM2.5 annual mean stage2 Limit Value 2022,13,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{6AC1A543-0ABA-4CAF-9F92-44614494739C},1924215.80187318,1630315288.99501
2,UK0002,West Midlands Urban Area,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{5F083CED-1382-4892-A09E-20D21FBF965B},666327.410350489,599662377.697963
3,UK0003,Greater Manchester Urban Area,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{B84EFF6F-BB3F-49A0-B2AC-BC9B6C5B46EC},1311025.04600873,556466825.658004
4,UK0004,West Yorkshire Urban Area,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{B9F50B59-6106-4805-84EC-D2402AA69B44},1285916.58838284,369966601.580566
5,UK0005,Tyneside,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{CE393F96-0183-4851-955C-0B915D27E1B1},608272.376771677,210719249.25174
6,UK0006,Liverpool Urban Area,PM2.5 annual mean stage2 Limit Value 2022,14,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{5A739C57-51A6-4BBD-8605-937821F1B2B6},305256.908820854,186061360.868969
7,UK0007,Sheffield Urban Area,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{A016DF2F-BCDF-4DB1-8762-582FE36C2BA9},419374.816844874,162190675.84324
8,UK0008,Nottingham Urban Area,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{BD3B8E09-0BE6-4E8A-B255-541921059066},436618.161913162,158434918.161116
9,UK0009,Bristol Urban Area,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{5C90426A-4810-4AAE-9D21-18A6C03FC4C2},316778.468058441,139755454.060475
10,UK0010,Brighton/Worthing/Littlehampton,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{7E562DAA-8DCB-4097-ADEF-2678E6220412},241980.957221294,94090008.3542869
11,UK0011,Leicester Urban Area,PM2.5 annual mean stage2 Limit Value 2022,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{7574D4C7-3B3B-424C-8ED8-2F7703B478EF},215660.864434521,101640509.183915
12,UK0012,Portsmouth Urban Area,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{2D264F34-86FC-4E6B-935D-87F9C79D3C58},277913.401033606,94411471.888681
13,UK0013,Teesside Urban Area,PM2.5 annual mean stage2 Limit Value 2022,12,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{DBC3C9EC-3AE3-4657-A1E4-2952C0AAAF21},268300.380811507,114303033.398667
14,UK0014,The Potteries,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{BABF6C42-4422-4636-AA7D-4DACECB374BE},320022.561398888,96638493.7269874
15,UK0015,Bournemouth Urban Area,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{480B256D-9BAB-4073-92EB-B7BAE8F07B96},251849.342077123,108070011.0059
16,UK0016,Reading/Wokingham Urban Area,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{2AE52560-E57B-4FBF-9A91-48F42C5F408B},259025.822297437,93153131.1895689
17,UK0017,Coventry/Bedworth,PM2.5 annual mean stage2 Limit Value 2022,10,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{46B41105-4CB2-43D1-BE9A-65C5B4157050},228377.589941263,75477131.7086832
18,UK0018,Kingston upon Hull,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{F1B82E73-EDEF-432F-82D0-D432C4437649},144828.131798232,80386674.5916436
19,UK0019,Southampton Urban Area,PM2.5 annual mean stage2 Limit Value 2022,11,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{88850664-B4DD-4C97-83D3-1CB9F14C7725},182667.610100662,72763328.1857934
20,UK0020,Birkenhead Urban Area,PM2.5 annual mean stage2 Limit Value 2022,9,μg m⁻³,Compliant,Limit Value: 20 μg m⁻³,{0C5B0920-5C91-4F3D-B85D-7005CB1E2D0E},205808.659555806,89081252.6538979
