Year,Gas,Value
1990-01-01,Methane (CH4),150.3174
1990-01-01,Nitrous oxide (N2O),44.2503
1990-01-01,Perfluorocarbons (PFC),1.4837
1990-01-01,Carbon dioxide (CO2),604.0339
1990-01-01,Fluorinated gases (F gases),14.795
1990-01-01,Hydrofluorocarbons (HFC),12.0684
1990-01-01,Sulphur hexafluoride (SF6),1.2428
1990-01-01,Nitrogen Trifluoride (NF3),1e-4
1991-01-01,Methane (CH4),151.1798
1991-01-01,Nitrous oxide (N2O),44.388
1991-01-01,Perfluorocarbons (PFC),1.2431
1991-01-01,Carbon dioxide (CO2),611.0471
1991-01-01,Fluorinated gases (F gases),15.1291
1991-01-01,Hydrofluorocarbons (HFC),12.5827
1991-01-01,Sulphur hexafluoride (SF6),1.3032
1991-01-01,Nitrogen Trifluoride (NF3),1e-4
1992-01-01,Methane (CH4),150.9911
1992-01-01,Nitrous oxide (N2O),39.952
1992-01-01,Perfluorocarbons (PFC),0.6176
1992-01-01,Carbon dioxide (CO2),594.5895
1992-01-01,Fluorinated gases (F gases),15.0895
1992-01-01,Hydrofluorocarbons (HFC),13.1022
1992-01-01,Sulphur hexafluoride (SF6),1.3695
1992-01-01,Nitrogen Trifluoride (NF3),2e-4
1993-01-01,Methane (CH4),149.3905
1993-01-01,Nitrous oxide (N2O),36.1345
1993-01-01,Perfluorocarbons (PFC),0.5387
1993-01-01,Carbon dioxide (CO2),580.0621
1993-01-01,Fluorinated gases (F gases),15.5003
1993-01-01,Hydrofluorocarbons (HFC),13.7633
1993-01-01,Sulphur hexafluoride (SF6),1.1981
1993-01-01,Nitrogen Trifluoride (NF3),2e-4
1994-01-01,Methane (CH4),141.7429
1994-01-01,Nitrous oxide (N2O),36.7164
1994-01-01,Perfluorocarbons (PFC),0.5464
1994-01-01,Carbon dioxide (CO2),573.658
1994-01-01,Fluorinated gases (F gases),16.3248
1994-01-01,Hydrofluorocarbons (HFC),14.534
1994-01-01,Sulphur hexafluoride (SF6),1.2441
1994-01-01,Nitrogen Trifluoride (NF3),2e-4
1995-01-01,Methane (CH4),143.6193
1995-01-01,Nitrous oxide (N2O),35.5015
1995-01-01,Perfluorocarbons (PFC),0.5333
1995-01-01,Carbon dioxide (CO2),565.7469
1995-01-01,Fluorinated gases (F gases),17.4387
1995-01-01,Hydrofluorocarbons (HFC),15.6143
1995-01-01,Sulphur hexafluoride (SF6),1.2909
1995-01-01,Nitrogen Trifluoride (NF3),3e-4
1996-01-01,Methane (CH4),142.7719
1996-01-01,Nitrous oxide (N2O),35.5711
1996-01-01,Perfluorocarbons (PFC),0.5319
1996-01-01,Carbon dioxide (CO2),585.2988
1996-01-01,Fluorinated gases (F gases),18.2918
1996-01-01,Hydrofluorocarbons (HFC),16.4213
1996-01-01,Sulphur hexafluoride (SF6),1.3383
1996-01-01,Nitrogen Trifluoride (NF3),3e-4
1997-01-01,Methane (CH4),140.012
1997-01-01,Nitrous oxide (N2O),35.8456
1997-01-01,Perfluorocarbons (PFC),0.4469
1997-01-01,Carbon dioxide (CO2),561.1248
1997-01-01,Fluorinated gases (F gases),20.1036
1997-01-01,Hydrofluorocarbons (HFC),18.3447
1997-01-01,Sulphur hexafluoride (SF6),1.3117
1997-01-01,Nitrogen Trifluoride (NF3),4e-4
1998-01-01,Methane (CH4),136.1544
1998-01-01,Nitrous oxide (N2O),35.8429
1998-01-01,Perfluorocarbons (PFC),0.4353
1998-01-01,Carbon dioxide (CO2),565.5012
1998-01-01,Fluorinated gases (F gases),17.1542
1998-01-01,Hydrofluorocarbons (HFC),15.358
1998-01-01,Sulphur hexafluoride (SF6),1.3606
1998-01-01,Nitrogen Trifluoride (NF3),4e-4
1999-01-01,Methane (CH4),129.8373
1999-01-01,Nitrous oxide (N2O),27.3233
1999-01-01,Perfluorocarbons (PFC),0.4123
1999-01-01,Carbon dioxide (CO2),558.2983
1999-01-01,Fluorinated gases (F gases),10.4504
1999-01-01,Hydrofluorocarbons (HFC),8.5041
1999-01-01,Sulphur hexafluoride (SF6),1.5335
1999-01-01,Nitrogen Trifluoride (NF3),5e-4
2000-01-01,Methane (CH4),123.8017
2000-01-01,Nitrous oxide (N2O),26.7324
2000-01-01,Perfluorocarbons (PFC),0.5186
2000-01-01,Carbon dioxide (CO2),565.9936
2000-01-01,Fluorinated gases (F gases),9.317
2000-01-01,Hydrofluorocarbons (HFC),6.9359
2000-01-01,Sulphur hexafluoride (SF6),1.8619
2000-01-01,Nitrogen Trifluoride (NF3),5e-4
2001-01-01,Methane (CH4),118.884
2001-01-01,Nitrous oxide (N2O),25.4454
2001-01-01,Perfluorocarbons (PFC),0.4321
2001-01-01,Carbon dioxide (CO2),574.7382
2001-01-01,Fluorinated gases (F gases),9.5081
2001-01-01,Hydrofluorocarbons (HFC),7.5999
2001-01-01,Sulphur hexafluoride (SF6),1.4757
2001-01-01,Nitrogen Trifluoride (NF3),3e-4
2002-01-01,Methane (CH4),116.2312
2002-01-01,Nitrous oxide (N2O),23.9786
2002-01-01,Perfluorocarbons (PFC),0.3654
2002-01-01,Carbon dioxide (CO2),556.5386
2002-01-01,Fluorinated gases (F gases),9.8463
2002-01-01,Hydrofluorocarbons (HFC),7.9679
2002-01-01,Sulphur hexafluoride (SF6),1.5127
2002-01-01,Nitrogen Trifluoride (NF3),3e-4
2003-01-01,Methane (CH4),110.7523
2003-01-01,Nitrous oxide (N2O),23.5923
2003-01-01,Perfluorocarbons (PFC),0.3213
2003-01-01,Carbon dioxide (CO2),567.2263
2003-01-01,Fluorinated gases (F gases),10.376
2003-01-01,Hydrofluorocarbons (HFC),8.7245
2003-01-01,Sulphur hexafluoride (SF6),1.3299
2003-01-01,Nitrogen Trifluoride (NF3),3e-4
2004-01-01,Methane (CH4),105.6871
2004-01-01,Nitrous oxide (N2O),24.052
2004-01-01,Perfluorocarbons (PFC),0.4071
2004-01-01,Carbon dioxide (CO2),568.4639
2004-01-01,Fluorinated gases (F gases),9.3459
2004-01-01,Hydrofluorocarbons (HFC),7.8222
2004-01-01,Sulphur hexafluoride (SF6),1.1163
2004-01-01,Nitrogen Trifluoride (NF3),3e-4
2005-01-01,Methane (CH4),100.7765
2005-01-01,Nitrous oxide (N2O),23.1082
2005-01-01,Perfluorocarbons (PFC),0.3661
2005-01-01,Carbon dioxide (CO2),564.8281
2005-01-01,Fluorinated gases (F gases),9.9771
2005-01-01,Hydrofluorocarbons (HFC),8.5578
2005-01-01,Sulphur hexafluoride (SF6),1.0528
2005-01-01,Nitrogen Trifluoride (NF3),3e-4
2006-01-01,Methane (CH4),96.0502
2006-01-01,Nitrous oxide (N2O),22.1437
2006-01-01,Perfluorocarbons (PFC),0.362
2006-01-01,Carbon dioxide (CO2),561.9182
2006-01-01,Fluorinated gases (F gases),10.6113
